Acc_LFP_PeakRate,Acc_MUAe_PeakRate,Acc_LFP_PeakEnv,Acc_MUAe_PeakEnv,AccShuffle_LFP_PeakRate,AccShuffle_MUAe_PeakRate,AccShuffle_LFP_PeakEnv,AccShuffle_MUAe_PeakEnv,Bird_Name,Sex,Depths
50.9407505692335,39.6698991487433,58.1145961840345,40.5185918067386,14.5866627352695,14.8850175547802,14.201208571325,15.2979861092053,M1,1,4
29.3832487673432,18.8881847695218,30.6659510062664,19.2714185288682,14.4451073558078,15.2998079348699,15.1002407375763,14.4830950389193,F1,2,4
53.7062125902993,60.354212246302,54.9840309329473,62.3859615616582,16.2916305469556,15.0503715170279,14.4319672845215,16.4453770343863,M3,1,4
52.5911411656075,48.066469924381,51.7825125797262,52.9142206142369,12.7064768043259,12.7322162475332,14.3835759771885,13.1997853563765,M2,1,4
48.2528354479047,52.9066983346486,52.601608942667,58.5091597151104,13.4799975717841,11.1574343875837,12.4677346546086,13.6324693588853,F3,2,4
23.228469141319,26.1883065760216,23.6370030180473,26.9693364611337,13.6273552285809,15.3094503491395,14.744656885428,14.7003094961985,F1,2,4
53.0171998624011,49.6926575698506,56.9970119892721,56.1016238854216,13.6481978366395,15.1557199097963,13.5299230448869,14.3555189220824,M2,1,4
27.4455278584575,27.569478578192,29.8125290991781,24.3768158704643,14.0315661804602,14.4639831334958,15.4696158869342,14.193277978746,F1,2,4
33.5251691319803,35.1030517470146,31.5778012427725,44.5483935200875,11.37441643324,12.3982341474602,16.8332697246894,9.80664993270035,M2,1,5
29.8960067042868,44.1278645089988,40.5916384335131,53.1642566422884,13.4782549824708,13.6885836828199,14.1392196024631,15.2767286289452,F3,2,5
41.4976896974948,38.2582973410287,45.9461969165558,42.687507594055,13.4640331766235,15.3104787507379,14.7351685865044,13.1019048689041,F1,2,5
56.5424802201582,62.5688957688338,58.0016892722001,64.5925754671885,12.7741812865497,14.714699002408,12.9233321717842,14.758750150778,M3,1,5
40.4594409139464,29.7166476562924,41.4801075302949,32.8339406777569,14.2757355204316,12.0196368113266,14.3555547796219,13.7363826584944,M2,1,5
42.7970111428982,43.0404283854337,41.3768943670578,49.1150553452156,14.0516257135766,13.2056341523951,13.4445207029171,14.5431707498173,F3,2,5
39.181917211329,37.8156862745098,46.9975667034491,45.0270916447387,13.0363834422658,15.7350762527233,16.5771156947628,12.7728970376029,M1,1,5
37.3807082043344,21.6276892701525,37.8600273010586,23.3921188424865,13.9725841359936,11.8102550596262,14.3526359906004,14.7511192475395,F1,2,5
44.79673374613,59.2707585139319,47.7797339829074,62.681350211536,12.9939404884761,13.5578672170623,14.0969005624578,13.255507865028,M3,1,5
28.8002053559329,18.6029932972657,30.8520230382037,19.2611730062476,12.5903044896853,13.9328788399996,13.8185004319257,13.4260714580163,M2,1,5
22.0085409602437,18.8273551525874,23.1768640470542,17.4342360548685,15.3566268612708,15.1010467344833,13.7108790884775,15.5850051344302,M2,1,5
18.642007160239,28.4762960414835,20.7583569490174,27.0772867006097,14.9896418606429,13.8843946285467,14.5988154846084,13.27824516894,F3,2,5
30.2549227192389,17.4219482106212,32.1384435641935,20.6871739786494,11.7584279325765,12.7691126057198,12.8833266243857,12.5356090299509,F1,2,5
42.2260374644275,56.0484097945398,46.8606844087658,59.4504861696906,12.633358003843,16.0968300132387,14.0323372756059,17.4205606879873,M3,1,5
53.6822797030527,57.9867893960074,57.336076376324,59.1222860497803,14.3351920281412,14.0665052098938,12.6613973263329,15.9296134721831,M1,1,5
23.3673890608875,19.7354956785346,24.271853877117,23.2328171001255,13.4552803577571,11.9976403938768,13.8966398211996,13.4132270083073,F1,2,5
19.3591964948491,16.0506098407353,21.1096205739354,15.4835990749303,14.6987127260877,17.1135281444064,15.1904196021843,12.1182690597714,M2,1,5
38.796127315192,46.4605874205638,43.9188471283754,51.8800240233758,12.3717931309181,13.7539627577716,13.812400642285,15.3411442223158,F2,2,5
29.3965059708094,30.6857011810572,35.8922622743941,38.1226999039914,13.1867359029382,14.0567923075663,15.0330600076288,13.9861695165396,F1,2,5
42.1589327636256,39.2189421782871,44.2345347999576,40.4806334800632,12.0727252427595,13.9776039686419,11.8628507112294,13.172058464954,M1,1,5
24.1383001243682,30.3573734487047,26.864548420276,31.9779914787655,13.2300283136196,13.9518006932868,12.3328232654858,12.8914021135383,F2,2,5
56.2509803921569,57.1663595262666,61.8786087002584,59.7403817986525,16.2716939407342,13.1189026487788,15.1163575478038,15.1261046683426,M4,1,3
51.1431450435189,40.1583166202595,55.6903812350976,42.0266657714815,13.26373879575,14.3950840846103,14.4695085762029,12.3597016369667,M4,1,3
46.73674750602,42.0730592821924,50.9248630339962,47.0452144175054,12.4711328976035,11.3728844169247,13.5313970085642,14.1794651140626,M4,1,3
47.8479710093354,46.070430471039,50.1254028257071,50.3069112482479,12.0735561012064,14.7854198545722,13.7229290880407,14.622478810586,M4,1,4
38.4837414814195,32.4651726029435,42.1451219825833,34.2530173412526,12.9112533586218,15.4882878234271,12.2990328292186,14.4178918172726,M4,1,4
31.2189401501181,19.0303648062619,35.18675857406,19.5174843540575,11.9374573528002,12.3153524280002,13.606405775111,13.3648149039206,M4,1,4
