Acc_LFP,Acc_MUAe,Cohen_LFP,Cohen_MUAe,Birds_Name,Sex_Birds,Song_Number,Order_Parts,Depth_Record,Session_Number
54.4186046511628,57.6744186046512,0.139367698717425,0.175272941870758,M2,1,8,5,2,2
60.0790513833992,65.6126482213439,0.135467063639747,0.22049084534476,M2,1,9,5,2,2
74.4588744588745,66.2337662337662,0.492836676217765,0.328988529718457,M2,1,5,1,2,3
80.2371541501976,74.703557312253,0.586628324946082,0.432098765432099,M2,1,9,1,2,3
85.7142857142857,72.4738675958188,0.703280631414378,0.418745353398108,M2,1,6,1,2,3
74.4897959183673,74.4897959183673,0.456602099659914,0.467108125090628,M2,1,10,1,2,3
68.8372093023256,69.7674418604651,0.351272235982886,0.42058128446453,M2,1,8,1,2,3
76.0869565217391,68.1159420289855,0.504865452568633,0.347622884770347,M2,1,1,1,2,3
67.5324675324675,61.9047619047619,0.354291677537177,0.247278382581649,M2,1,5,1,2,3
69.2028985507246,68.1159420289855,0.36041439476554,0.339030098514124,M2,1,1,1,2,3
63.9130434782609,67.3913043478261,0.291125139249907,0.329576369996113,M2,1,3,1,2,3
71.2328767123288,72.6027397260274,0.415158323089314,0.442558968267436,M2,1,4,1,2,3
88.1533101045296,70.7317073170732,0.740768290739068,0.334253838506572,M2,1,6,1,2,3
83.5341365461847,70.6827309236948,0.644298108079858,0.355356952867326,M2,1,7,1,2,3
61.3953488372093,73.0232558139535,0.266151252210388,0.480849292256453,M2,1,8,1,2,3
80.2371541501976,67.1936758893281,0.592487597448618,0.305060065526028,M2,1,9,1,2,3
76.530612244898,67.3469387755102,0.485883724466521,0.252898512361692,M2,1,10,1,2,3
88.2629107981221,71.830985915493,0.759278513629583,0.420460729185561,M2,1,2,1,2,3
85.0174216027875,75.9581881533101,0.670440889790905,0.48891527085968,M2,1,6,1,2,3
83.3333333333333,63.0434782608696,0.658984689766318,0.243835616438356,M2,1,1,1,2,3
90.6976744186046,64.6511627906977,0.812750391917784,0.321597608569293,M2,1,8,2,2,3
81.304347826087,76.0869565217391,0.608316831683168,0.514022281982328,M2,1,3,2,2,3
86.8544600938967,81.2206572769953,0.73011132229161,0.61604326273096,M2,1,2,2,2,3
