SessionITPCz,SongITPCz,BirdsITPCz,SexITPCz,Perf_SessionSong,Delta_ITPCz,Theta_ITPCz,Alpha_ITPCz,Beta_ITPCz,Gamma_ITPCz
32,1,F1,2,0.216734071511623,1.42930926220881,1.02200019763608,0.993895185940658,0.912761229881465,0.762465695760821
33,1,M3,1,0.399406983903695,0.653411318322973,1.51456839119476,1.83424710210748,2.38977487386245,1.43525508676767
34,1,M2,1,0.213958442426684,0.229664332844234,0.384474579051014,0.543935104881882,0.868588542453123,0.384202498308215
35,1,M2,1,0.14209135426274,0.436910294990271,0.366984495374862,0.277979755759361,0.251490840344332,0.30175197197554
36,1,F3,2,0.0580200828033896,1.22183565462492,0.545049171920774,0.743217065130238,1.39358819791812,0.939508603606525
37,1,F1,2,0.244786257724935,0.177469576458279,0.310171974363454,0.289130173008794,0.396875665020623,0.923305282039172
38,1,M3,1,0.352148274763498,1.59086361581442,3.75861007279064,1.84447097038196,2.37161270437281,2.53684040072617
39,1,M1,1,0.402715584934394,1.79671491931642,2.06718418958756,1.64565073200105,1.92547811654582,1.17325063661607
40,1,F1,2,0.201444276643605,0.88654572994699,1.03072278812845,0.73231636053571,0.638460436594025,0.640101342836899
41,1,M2,1,0.0482037218832389,0.541516857310628,0.470046547603826,0.389023960640954,0.382651325416286,0.401773835305419
42,1,F2,2,0.386293099215348,0.659445986083623,4.68510181554896,4.90547165442291,5.06376228066968,1.61724691248623
43,1,F1,2,0.221754489093407,0.338485478786397,1.29014370805997,0.79340413748613,0.851951346491891,0.638303524458163
44,1,M1,1,0.360066451121291,1.48175223845302,1.00545141008268,0.951556728409159,0.882688943109358,0.720219456006946
45,1,F2,2,0.0687668314885156,0.752169343198024,1.93448451007,1.36695707662143,1.84451526343538,1.17368687138184
46,1,M4,1,0.492013552592407,1.13109056716778,5.25399963701724,6.3328582955579,9.59232111291293,4.53886261538746
47,1,M4,1,0.380913414601782,0.547234073106675,1.02582704199706,2.1474459037269,4.86575717703754,2.289612659849
48,1,M4,1,0.472740473349918,1.27981698676953,1.45744864081083,1.78708925761991,3.89164125275078,1.90152675285731
49,1,M4,1,0.326306855056583,0.699224365318252,1.62767231497097,1.72200626274884,3.4797733216376,1.78838067408014
50,1,M4,1,0.324156464121863,0.51805528040729,0.947676636086648,0.54252853300121,0.978548029866183,0.449859044626746
51,1,M4,1,0.217052793752768,0.891329517390339,0.552146509613711,0.419382236892749,0.43439087157826,0.349769853601575
1,2,F2,2,0.0308541076833989,0.518639808144978,0.596565674161616,0.475993589536488,0.625653992711654,0.558618239316507
2,2,M2,1,0.0636791900153107,0.283167240190206,0.306019729880723,0.482073120912202,0.348475791684466,0.475704378175933
3,2,M2,1,0.158686468947924,0.308623671471954,0.324264182416131,0.440362165143332,0.487795616360087,0.407609377018722
4,2,F3,2,0.383581959023037,0.263622858525774,0.372445160547327,0.642180113096566,0.751162863746712,0.71285463981869
