Session,Birds,Sex,BaseLine_Perf,Delta_Perf,Theta_Perf,Alpha_Perf,Beta_Perf,Gamma_Perf,D_T_Perf,D_A_Perf,D_B_Perf,D_G_Perf,T_A_Perf,T_B_Perf,T_G_Perf,A_B_Perf,A_G_Perf,B_G_Perf
15,2,1,90.0703346533496,84.2469868060696,76.6002894444998,81.5802042987147,78.7724904801526,88.5300576332553,68.3172135971902,74.685040005969,72.6706418737286,81.9926713034989,67.2634061593254,65.0734095512882,76.0778308316768,66.3977017973801,78.658048805144,75.1461633163029
16,3,2,85.3144192745044,80.7072161147779,76.99429323157,76.3575455954867,74.2312687415163,83.7016403348915,70.7795132046668,72.8054251220231,69.2065855297993,79.2545458036972,66.6042559446421,65.7321264587972,74.7439353505294,61.4903441730104,72.2387057872651,71.318531986054
17,1,1,86.1903798498981,78.4944085101685,74.8422214279967,78.1226347777376,79.8079365202297,84.3643581057174,67.0715825016206,70.6811996706305,73.2705544097784,77.2699383398678,64.8335270628654,67.7443912471971,73.8424989548811,68.0616513656507,77.1461455129697,77.534705707005
18,1,2,71.4491181235693,64.4565577776043,64.8618737717672,63.8908862630102,65.4487439926421,70.5704435036832,59.4577532561512,60.1998217648674,60.6863080306516,64.6125971020761,59.1266336231264,61.7930676391948,65.2211179065452,61.069850833916,64.5948452206024,66.7635081022878
19,3,1,84.4006425021746,80.1536726453447,75.5598917184483,76.3216142157705,77.3504584254719,83.2820706444724,70.5269778145067,72.2548446954893,72.0901394391729,79.1371931470436,67.4401802689769,68.7857935716402,73.0728870787999,67.3381432869986,74.5905836299274,75.9699745004568
20,2,1,87.5744341866066,80.8310156427358,76.5029293518837,81.3323988059179,76.5410338418831,85.9597876969939,67.6434383133794,75.6719704050234,71.2322428927339,78.7838550999597,69.4096106750399,65.3614801839013,75.4780336120619,66.5231857772208,78.2993826277127,76.3667962691562
21,3,2,85.1500705861036,80.3025077178682,76.516105974279,79.4914037278141,72.563313334901,84.2055624765604,70.6392411990182,72.8006747970508,67.1230920597749,79.089721911445,68.8173917888291,62.5450026831908,75.4016663631374,63.2468143709931,77.3942861380331,71.3569970173718
22,1,2,70.2081478650335,63.6827321936659,64.5270729798673,63.2657662430162,65.3354891561993,69.4589632060077,59.5376521762036,58.3286153433247,60.9974257400591,63.2877078351885,60.8993914499971,62.1920653751513,65.1432023475333,62.0501158489693,63.2337767657318,64.4476625142519
23,2,1,86.6497242658697,79.8587150155743,76.0981219705105,80.0099692433637,76.9377143811221,84.9944002675969,67.3344288477282,73.8904121932953,69.6388070000355,79.3713537123727,66.0411582448154,65.1904175981218,72.9990877203719,65.6545612913538,76.4981079038535,71.2706955300377
24,1,2,74.9610505365467,69.1651459710713,67.8090516562674,68.1207557481812,68.3648467582352,73.7413710371325,62.8623079904245,63.2479989677832,64.6968246122162,67.9970580933584,62.5816767204194,61.7308293244437,66.6504372824554,63.6496332365862,67.6475048981757,68.3224899326636
25,2,1,71.3539382404307,67.7148800663045,64.9377044886514,67.0370473988733,65.3995750181907,70.6221597300375,61.2265629258805,62.9677310033048,63.3447734452431,66.9478907824726,58.6519239994838,57.7658411659365,65.6233659223991,61.6813474958514,67.2685030760536,65.5247801410968
