Session,Birds,Sex,BaseLine_Perf,Delta_Perf,Theta_Perf,Alpha_Perf,Beta_Perf,Gamma_Perf,D_T_Perf,D_A_Perf,D_B_Perf,D_G_Perf,T_A_Perf,T_B_Perf,T_G_Perf,A_B_Perf,A_G_Perf,B_G_Perf
40,1,2,0.0627681082114577,0.0903735794126987,0.0345552442595363,0.0568567793816328,0.0569739751517773,0.0581278949975967,0.0543133728206158,0.0587959606200457,0.0823931386694312,0.0839664861559868,0.032959952019155,0.0310876360163093,0.0332588078454137,0.0474901283159852,0.0569330584257841,0.0510740205645561
41,2,1,0.0213555996878105,0.0181513480972825,0.0246103824230663,0.0192507003483019,0.0222263649890297,0.0211757452864396,0.0208555376320555,0.0231002360059504,0.0210609404664291,0.0262165519229153,0.0291021717222113,0.0191152608185484,0.0199169119199117,0.0181324649275395,0.0230226035703693,0.0188111265500387
42,2,2,0.228428090873517,0.246074307906,0.120759046391437,0.109305813124305,0.158558246336485,0.217665436236482,0.123540879864442,0.108318510024171,0.181808492855022,0.233292564749718,0.0504487015699085,0.0690002778643056,0.118483559865701,0.0684208124876022,0.100764745944425,0.151515267397228
43,1,2,0.143528939239563,0.190002549262274,0.0852720803684658,0.0819275388641963,0.104679306348165,0.135766053956652,0.095855540699429,0.118307417347318,0.127520995480674,0.177405890018221,0.0383792018133496,0.0497553717522394,0.0790010113564749,0.0464695881283472,0.0668191644880507,0.0953793289169433
44,1,1,0.322697292294419,0.321610773864545,0.200767773285247,0.231060537329891,0.211521525132029,0.296384249862872,0.188064293903217,0.239365343461957,0.209564876138118,0.302425905277855,0.121944680548551,0.105692470282839,0.172857899414866,0.133392619459253,0.194304993278102,0.205647931810011
45,2,2,0.0884487904035128,0.117555941526706,0.0572008192539215,0.0562864221059359,0.0788265420840337,0.0789716381293077,0.0712171747134282,0.0805071271382845,0.0963212022414574,0.107252797255149,0.027684402007323,0.0382660627365112,0.0446060850070073,0.0453413037153391,0.0508596644951747,0.0682157828257634
46,4,1,0.493769700186593,0.457255170175007,0.315150605780738,0.358072240012033,0.345329239538738,0.457485977240971,0.250431847572327,0.307260817289352,0.285892070191247,0.424727214234216,0.159087816306523,0.194864670719419,0.287663350786482,0.226377148287637,0.316142805985042,0.304861345461437
47,4,1,0.360094721587199,0.320913922111943,0.31419315428104,0.259870075954581,0.222796165718223,0.324464641652017,0.231598942909601,0.201656387661988,0.163743790590538,0.260631286873008,0.217947145677962,0.15883461821754,0.277893197986315,0.134148418903351,0.210809213935204,0.180963991947894
48,4,1,0.406266402204831,0.338678747415543,0.294808426499367,0.294545058409373,0.315412310759226,0.373949704567591,0.199240544438362,0.239780776699384,0.241466196378072,0.315247591336568,0.154004636406898,0.188120131691297,0.26212654709816,0.193560177087784,0.266672066847483,0.296917043129603
49,4,1,0.420007215491657,0.359297834593674,0.286007710571947,0.297675246822423,0.302745288815992,0.391710765402893,0.204675492541543,0.225904596262965,0.246116180872095,0.328895291377758,0.140386276204011,0.154349167799128,0.247461610826953,0.207135061765539,0.262240998703858,0.258760933218331
50,4,1,0.319989355029287,0.304240490939166,0.206714425538037,0.218932668099532,0.230967117322458,0.291234111463701,0.17046810163034,0.1958976782657,0.218274314661284,0.275472749729414,0.103279587384817,0.107620917462014,0.175754231375617,0.138132865364487,0.182579713093268,0.200641578113711
51,4,1,0.187742458992317,0.173903733003335,0.101279722862556,0.136372801710348,0.147013292937982,0.173643664258425,0.0818070661826212,0.121943308681738,0.120757705852634,0.157751697008727,0.0517253963673701,0.0666027215660596,0.0968256221442926,0.10137360604083,0.119104396124355,0.129482856539429
