Session_Number,Song_Number,Perf_LFP,Perf_MUAe,Name,Sex,Depth
8,10,0.861294366820239,0.850082013125883,M2,1,2
9,1,0.675972081989289,0.47787713048154,M1,1,2
9,2,0.664713544325941,0.528433375425671,M1,1,2
9,3,0.64014695527186,0.440084069597793,M1,1,2
9,4,0.732170906161339,0.548203267408213,M1,1,2
9,5,0.75385224095003,0.606852874383245,M1,1,2
9,6,0.670515301547792,0.463198798746364,M1,1,2
9,7,0.651153701919982,0.452902805629884,M1,1,2
9,8,0.591529016370849,0.550607014431611,M1,1,2
9,9,0.775900226932305,0.486550778860594,M1,1,2
9,10,0.764058002960931,0.554166311879841,M1,1,2
10,1,0.829750633480204,0.836111676358993,M2,1,2
10,2,0.739522406608803,0.837295086939598,M2,1,2
10,3,0.775173702802383,0.824365602261797,M2,1,2
10,4,0.869288270490695,0.84392109001411,M2,1,2
10,5,0.839666540479094,0.794297698921165,M2,1,2
10,6,0.882385581426352,0.878028702766919,M2,1,2
10,7,0.930388139306629,0.826133884326012,M2,1,2
10,8,0.780639235664553,0.849252792555602,M2,1,2
10,9,0.874349641813426,0.925374703527667,M2,1,2
10,10,0.789937102174532,0.849911224574606,M2,1,2
11,1,0.842041944037325,0.889670396029693,M2,1,2
11,2,0.734229967032246,0.79647937446269,M2,1,2
11,3,0.69405792095254,0.813084363751088,M2,1,2
11,4,0.801668655480386,0.845023394576501,M2,1,2
11,5,0.852459729099472,0.884494387320005,M2,1,2
11,6,0.707426886870908,0.822895913251018,M2,1,2
11,7,0.808039967130151,0.866637001661173,M2,1,2
11,8,0.732923755881226,0.908579473438837,M2,1,2
11,9,0.792581510550268,0.964772232440806,M2,1,2
11,10,0.890655018714343,0.901197977427144,M2,1,2
12,1,0.272395748397927,0.683493709278061,F1,2,2
12,2,0.431736723754071,0.654048184046793,F1,2,2
12,3,0.323796614988871,0.567239960981799,F1,2,2
12,4,0.418839987068014,0.81143169391839,F1,2,2
12,5,0.246080141918611,0.654200370161548,F1,2,2
12,6,0.397732140310484,0.760399841040347,F1,2,2
12,7,0.364825323006642,0.800604212413946,F1,2,2
12,8,0.329128144398693,0.767265811312797,F1,2,2
12,9,0.413080283227807,0.800404800163027,F1,2,2
12,10,0.332424716928697,0.72202398428473,F1,2,2
13,1,0.305032754323115,0.652710681344695,F1,2,2
13,2,0.397383748677577,0.669276324096589,F1,2,2
13,3,0.339093318983579,0.506623265528481,F1,2,2
13,4,0.454278219773634,0.726479333579748,F1,2,2
13,5,0.397053235413318,0.679172105567088,F1,2,2
13,6,0.413760818453231,0.690011693666134,F1,2,2
13,7,0.338077403342994,0.668503556014166,F1,2,2
13,8,0.410426000339159,0.675821745997205,F1,2,2
13,9,0.389052172176024,0.66734551820696,F1,2,2
13,10,0.434613392865815,0.769517221481114,F1,2,2
14,1,0.61683920601962,0.547448567332681,M1,1,2
14,2,0.680818537825302,0.536741697688738,M1,1,2
14,3,0.561930093906452,0.493446284959752,M1,1,2
14,4,0.624995646510097,0.568410771635226,M1,1,2
14,5,0.823635423446687,0.716420025698911,M1,1,2
14,6,0.629730139129116,0.477472722694226,M1,1,2
14,7,0.65152105226709,0.509028159066975,M1,1,2
14,8,0.55122257668734,0.645051646867109,M1,1,2
14,9,0.795110403907483,0.567809960113912,M1,1,2
14,10,0.748248160099884,0.491773580720882,M1,1,2
15,1,0.879915987641814,0.877529591663774,M2,1,2
15,2,0.753140639952363,0.777302857265415,M2,1,2
15,3,0.638601839105568,0.655254996943607,M2,1,2
15,4,0.940099366267794,0.871834453231062,M2,1,2
15,5,0.914710387622517,0.818453056936681,M2,1,2
15,6,0.814496683451455,0.779667106280124,M2,1,2
15,7,0.833082882537694,0.827793447177378,M2,1,2
15,8,0.7242904925992,0.868347239845541,M2,1,2
15,9,0.723051841293768,0.821721710344885,M2,1,2
15,10,0.778476054558213,0.848311665569761,M2,1,2
16,1,0.629085633253989,0.718465538667318,F3,2,2
16,2,0.768363785487129,0.779398840073063,F3,2,2
16,3,0.543775344792341,0.624512137602564,F3,2,2
16,4,0.765322659652767,0.852685592038677,F3,2,2
16,5,0.735715825135949,0.810510871930767,F3,2,2
16,6,0.635235089195296,0.675365191454079,F3,2,2
16,7,0.62260759499991,0.673357732934147,F3,2,2
16,8,0.840430408843747,0.81795190418262,F3,2,2
16,9,0.753204689324582,0.846064857271113,F3,2,2
16,10,0.740497952123992,0.777828333792099,F3,2,2
17,1,0.76478857557986,0.601125292612668,M1,1,3
17,2,0.708970188684153,0.532851945751739,M1,1,3
17,3,0.680309309803201,0.56070627120486,M1,1,3
17,4,0.733878386567991,0.632125845171691,M1,1,3
17,5,0.779552210854856,0.636423642198577,M1,1,3
17,6,0.59839873436779,0.492479192369453,M1,1,3
17,7,0.681329952700464,0.41596783457228,M1,1,3
17,8,0.603350907646579,0.60947975877922,M1,1,3
17,9,0.772337268789268,0.660874951738596,M1,1,3
17,10,0.817348982803454,0.669430400644397,M1,1,3
18,1,0.344177556170627,0.29578061514852,F1,2,3
18,2,0.491206341747976,0.366462700194281,F1,2,3
18,3,0.333244958190236,0.297568278900749,F1,2,3
18,4,0.538669136350921,0.370638636957181,F1,2,3
18,5,0.294748878459297,0.311636590851893,F1,2,3
18,6,0.4293384933367,0.35239056856178,F1,2,3
18,7,0.328962206155515,0.388281130816348,F1,2,3
18,8,0.371266798068317,0.249633101480479,F1,2,3
18,9,0.501587052466454,0.363106031120575,F1,2,3
18,10,0.522858519125941,0.352497870704504,F1,2,3
19,1,0.64185812168286,0.646889961400118,M3,1,3
19,2,0.711746671090304,0.734084902287865,M3,1,3
19,3,0.645426933663712,0.681089830552405,M3,1,3
19,4,0.71435232847147,0.76971776377247,M3,1,3
19,5,0.678087724003505,0.636469922182634,M3,1,3
19,6,0.718543795445606,0.714664564893932,M3,1,3
19,7,0.624495130391163,0.7053657058563,M3,1,3
19,8,0.609239685720592,0.629456308111958,M3,1,3
19,9,0.777068077207141,0.766825535266431,M3,1,3
19,10,0.654830870638105,0.733031101433756,M3,1,3
20,1,0.650721650209952,0.83211202096124,M2,1,3
20,2,0.871373743426452,0.864081024350215,M2,1,3
20,3,0.633516717579737,0.782304039922568,M2,1,3
20,4,0.799392989460145,0.862186471206906,M2,1,3
20,5,0.888740059398022,0.89761533201841,M2,1,3
20,6,0.571036718347555,0.777167267543866,M2,1,3
20,7,0.640837240496931,0.765000054808486,M2,1,3
20,8,0.747531653062184,0.837691955814619,M2,1,3
20,9,0.86605613708464,0.842750766396111,M2,1,3
20,10,0.76367513688352,0.839400061446159,M2,1,3
21,1,0.742400935080892,0.689840756895123,F3,2,3
21,2,0.593913147922793,0.637184290874452,F3,2,3
21,3,0.655983219182326,0.566135721032113,F3,2,3
21,4,0.806041941209781,0.790282665851046,F3,2,3
21,5,0.72793366553868,0.780103876391191,F3,2,3
21,6,0.713820741325979,0.641771503741642,F3,2,3
21,7,0.434726555691714,0.656475170174405,F3,2,3
21,8,0.682016828810241,0.592328555349762,F3,2,3
21,9,0.698160542238708,0.748497455612459,F3,2,3
21,10,0.769664465194031,0.653803970506581,F3,2,3
22,1,0.301918297634217,0.418920408968398,F1,2,3
22,2,0.398449241746646,0.396518218652226,F1,2,3
22,3,0.380601261456576,0.387716341985779,F1,2,3
22,4,0.480429303314616,0.469136675382311,F1,2,3
22,5,0.305152145290621,0.381157279221306,F1,2,3
22,6,0.349829158266849,0.385505950783921,F1,2,3
22,7,0.393073419299376,0.44194186283388,F1,2,3
22,8,0.375465255946681,0.380449301542674,F1,2,3
22,9,0.419664524339461,0.485890220967512,F1,2,3
22,10,0.420371982008817,0.399272085445475,F1,2,3
23,1,0.622281080056452,0.617685737710556,M2,1,3
23,2,0.754269438125256,0.694977322626497,M2,1,3
23,3,0.651116664321295,0.703094782195178,M2,1,3
23,4,0.784412612538526,0.860694423206009,M2,1,3
23,5,0.8249125156829,0.831469646399751,M2,1,3
23,6,0.543315857285525,0.772381489590352,M2,1,3
23,7,0.772406254915732,0.74152620271742,M2,1,3
23,8,0.804674276362954,0.732112348151677,M2,1,3
23,9,0.701057251522434,0.826999796391438,M2,1,3
23,10,0.769886249132735,0.806265906239707,M2,1,3
24,1,0.461573742254283,0.414265442370124,F1,2,3
24,2,0.582528254712846,0.55218993348995,F1,2,3
24,3,0.425000352783182,0.460982778644232,F1,2,3
24,4,0.519131318369022,0.53481279547465,F1,2,3
24,5,0.508110987836085,0.447298378371283,F1,2,3
24,6,0.551868106000333,0.494060592854881,F1,2,3
24,7,0.425019878469695,0.436554426212486,F1,2,3
24,8,0.390339186868632,0.466422997655895,F1,2,3
24,9,0.496690840494062,0.449628921537891,F1,2,3
24,10,0.457720931882062,0.455586862115401,F1,2,3
25,1,0.339052631578947,0.74519940915805,M2,1,4
25,2,0.149779355932079,0.578370597010841,M2,1,4
25,3,0.522896281800391,0.583464566929134,M2,1,4
25,4,0.63090953669191,0.716720758652644,M2,1,4
25,5,0.66640796820131,0.743948768848608,M2,1,4
25,6,0.391478263950786,0.527259936769677,M2,1,4
25,7,0.25785719407451,0.600439280710164,M2,1,4
25,8,0.364122296642607,0.525677175146625,M2,1,4
25,9,0.093964582580412,0.317161477190442,M2,1,4
25,10,0.577524477568318,0.566966326375133,M2,1,4
26,1,0.376995248537524,0.425148558245119,F3,2,4
26,2,0.535289251923198,0.489463190792496,F3,2,4
26,3,0.306102938541487,0.60213689785225,F3,2,4
26,4,0.672435693900886,0.700794650394434,F3,2,4
26,5,0.560085375154266,0.752335613994506,F3,2,4
26,6,0.401520180079986,0.586789680038339,F3,2,4
26,7,0.602278397461397,0.687388019389783,F3,2,4
26,8,0.683038204069697,0.709644313571954,F3,2,4
26,9,0.376883251201888,0.569878806325902,F3,2,4
26,10,0.533797635839957,0.662246522289515,F3,2,4
27,1,0.520204120593059,0.52220812664983,F1,2,4
27,2,0.684404650393078,0.647606627560514,F1,2,4
27,3,0.639584892302285,0.601078599832355,F1,2,4
27,4,0.750913775964756,0.611515067256663,F1,2,4
27,5,0.720071297561007,0.588086082277466,F1,2,4
27,6,0.666334098889048,0.620785777447173,F1,2,4
27,7,0.721584139429314,0.689480459749329,F1,2,4
27,8,0.6056705551885,0.664785112546622,F1,2,4
27,9,0.551633520432731,0.604190171480618,F1,2,4
27,10,0.60604586016269,0.573555180525965,F1,2,4
28,1,0.748035551568086,0.725132864282406,M3,1,4
28,2,0.739190883611796,0.772915085024193,M3,1,4
28,3,0.644363226042902,0.634879727997533,M3,1,4
28,4,0.78074050996553,0.755715126022529,M3,1,4
28,5,0.793950016902421,0.748863804916649,M3,1,4
28,6,0.754815224552748,0.651590331324311,M3,1,4
28,7,0.734789718389685,0.703829918141431,M3,1,4
28,8,0.776474994741487,0.793188832619978,M3,1,4
28,9,0.678345495040514,0.660583976874696,M3,1,4
28,10,0.774322433019454,0.779672009783073,M3,1,4
29,1,0.622592628166714,0.428901379478842,M2,1,4
29,2,0.629229427474862,0.461318665411593,M2,1,4
29,3,0.636185811628482,0.386548322023371,M2,1,4
29,4,0.685773284173474,0.530082324956255,M2,1,4
29,5,0.590514971205139,0.497431475133729,M2,1,4
29,6,0.659769238687918,0.486646983738669,M2,1,4
29,7,0.589879616829364,0.514250173783207,M2,1,4
29,8,0.559029024275503,0.454946657376087,M2,1,4
29,9,0.531794330454097,0.48969722107934,M2,1,4
29,10,0.659475553334601,0.507665837579898,M2,1,4
30,1,0.682311201383643,0.579070996668188,F3,2,4
30,2,0.604964692273892,0.580488741954486,F3,2,4
30,3,0.577038594121999,0.470382536628107,F3,2,4
30,4,0.79993584753498,0.706860874166006,F3,2,4
30,5,0.6889066987043,0.720612475468863,F3,2,4
30,6,0.589400191410968,0.520383226145948,F3,2,4
30,7,0.772077069026832,0.732082745914725,F3,2,4
30,8,0.664770364348703,0.627652779442079,F3,2,4
30,9,0.646910733552829,0.523851849418889,F3,2,4
30,10,0.665437768671466,0.64921107297351,F3,2,4
31,1,NaN,NaN,M1,1,4
31,2,0.826860549132948,0.817051670358483,M1,1,4
31,3,0.235895802960462,0.69149458091588,M1,1,4
31,4,0.768665230067182,0.861864513687397,M1,1,4
31,5,0.732409102798849,0.887666928515318,M1,1,4
