Session_Number,Song_Number,Perf_LFP,Perf_MUAe,Name,Sex,Depth
13,7,0.120541357699281,0.410998105819948,F1,2,2
13,8,0.0961212213927305,0.270457356130669,F1,2,2
13,9,0.0779118376525792,0.385387945304488,F1,2,2
13,10,0.053470418342499,0.331696990285608,F1,2,2
14,1,0.4912658282878,0.352996903411902,M1,1,2
14,2,0.37398731903976,0.35123773746514,M1,1,2
14,3,0.447214342995179,0.304720789919391,M1,1,2
14,4,0.298029794203254,0.191697201278881,M1,1,2
14,5,0.434490468335134,0.223847532504198,M1,1,2
14,6,0.425964031361187,0.308009738271934,M1,1,2
14,7,0.378632145872626,0.375115576074748,M1,1,2
14,8,0.268462624758923,0.168486947814075,M1,1,2
14,9,0.338311689060893,0.268384678253187,M1,1,2
14,10,0.369840882528377,0.29242267747734,M1,1,2
15,1,0.595573949825161,0.460154320945277,M2,1,2
15,2,0.475519515077337,0.386525577772065,M2,1,2
15,3,0.555029041918323,0.487773837068046,M2,1,2
15,4,0.512082678131134,0.463635287048356,M2,1,2
15,5,0.529846256624883,0.573854649637918,M2,1,2
15,6,0.606188360312819,0.541634767249625,M2,1,2
15,7,0.503242891330819,0.400713463749609,M2,1,2
15,8,0.422848741296595,0.352094133566602,M2,1,2
15,9,0.620923417849822,0.4896009289085,M2,1,2
15,10,0.595138182493212,0.487381789168572,M2,1,2
16,1,0.497062322294995,0.516562280809102,F3,2,2
16,2,0.383977743404047,0.515670957712188,F3,2,2
16,3,0.371269085679252,0.446189724428764,F3,2,2
16,4,0.4665047036576,0.552977512943023,F3,2,2
16,5,0.421623129980266,0.605716842358595,F3,2,2
16,6,0.433924224847479,0.660705627323946,F3,2,2
16,7,0.577060999385274,0.578974540385705,F3,2,2
16,8,0.454725238276937,0.540269965273031,F3,2,2
16,9,0.4620678103445,0.560771621049902,F3,2,2
16,10,0.382782305521813,0.512706009173949,F3,2,2
17,1,0.553305083996086,0.428944289697781,M1,1,3
17,2,0.438077325810737,0.366930744860025,M1,1,3
17,3,0.464356784644302,0.335048246250866,M1,1,3
17,4,0.440103048171197,0.256548349015594,M1,1,3
17,5,0.532250654276463,0.267865528807287,M1,1,3
17,6,0.475948593397624,0.270484396020773,M1,1,3
17,7,0.36037646756891,0.340322582987298,M1,1,3
17,8,0.291106229442125,0.177458845656091,M1,1,3
17,9,0.505977632093296,0.360525043559125,M1,1,3
17,10,0.555594950685864,0.315182151555635,M1,1,3
18,1,0.115746896375468,0.0712627972015536,F1,2,3
18,2,0.174193836508359,0.100256656406483,F1,2,3
18,3,0.140653826555568,0.0786782896581602,F1,2,3
18,4,0.125973290799061,0.032579602874793,F1,2,3
18,5,0.198981163066254,0.062854488832377,F1,2,3
18,6,0.192093612483666,0.0446087665225686,F1,2,3
18,7,0.265516490999279,0.0839887166743413,F1,2,3
18,8,0.196719097536958,0.0381748993753318,F1,2,3
18,9,0.195521140113281,0.0988922247146936,F1,2,3
18,10,0.108626028440742,0.0231091998806413,F1,2,3
19,1,0.366637316692181,0.443470299785195,M3,1,3
19,2,0.356409266161631,0.45997720190522,M3,1,3
