Session,OrderParts,LFP_Perf,MUAe_Perf,Name,Sex,Depth
29,3,0.197856168997915,0.252600208709114,M2,1,4
29,4,0.218441721640135,0.343331591079109,M2,1,4
29,5,0.237446433619449,0.240812289087396,M2,1,4
30,1,0.121252864599228,0.198063753545284,F3,2,4
30,2,0.3340158239007,0.342057552188635,F3,2,4
30,3,0.233191721141339,0.279447887092829,F3,2,4
30,4,0.199068885296583,0.318756703287363,F3,2,4
30,5,0.209143702189128,0.30986111164093,F3,2,4
31,1,0.629941423734029,0.573963661988576,M1,1,4
31,2,0.284315506617228,0.554367482662201,M1,1,4
31,3,0.317606965700785,0.302113254865011,M1,1,4
31,4,0.361504554748535,0.553452372550964,M1,1,4
31,5,0.294959604740143,0.594126522541046,M1,1,4
32,1,0.170450665448841,0.137837946414948,F1,2,4
32,2,0.219747628036298,0.104843233761035,F1,2,4
32,3,0.146639237278386,0.0957733706424111,F1,2,4
32,4,0.184367710038235,0.111071981881794,F1,2,4
32,5,0.182071763277054,0.103359171748161,F1,2,4
33,1,0.238177686929703,0.451413181424141,M3,1,4
33,2,0.244480872154236,0.379004916548729,M3,1,4
33,3,0.296260091662407,0.450412347912788,M3,1,4
33,4,0.324428161978722,0.483642283082008,M3,1,4
33,5,0.267530456185341,0.470849913358688,M3,1,4
34,1,0.0907506392552302,0.0528502785242521,M2,1,4
34,2,0.0642518538695115,0.0507575181814341,M2,1,4
34,3,0.0852616658577552,0.109357920976786,M2,1,4
34,4,0.109965613255134,0.102184749566592,M2,1,4
34,5,0.0608395848955427,0.0818495239530291,M2,1,4
35,1,0.0431225938456399,0.0517899223736354,M2,1,4
35,2,0.03209188580513,0.06684724347932,M2,1,4
35,3,0.0292804156030927,0.0339003843920571,M2,1,4
35,4,0.0409234293869563,0.0551732395376478,M2,1,4
35,5,0.0625007152557373,0.0665411480835506,M2,1,4
36,1,0.0621189204129307,0.173615829511122,F3,2,4
36,2,0.0271600647406144,0.273591621355577,F3,2,4
36,3,0.0639657324010675,0.246234839612787,F3,2,4
