Session,OrderParts,LFP_Perf,MUAe_Perf,Name,Sex,Depth
13,3,0.395284441690541,0.697624658832129,F1,2,2
13,4,0.366340376489126,0.600940843247884,F1,2,2
13,5,0.344797992434032,0.586328700050735,F1,2,2
14,1,0.674019116460347,0.605122969148884,M1,1,2
14,2,0.699329398772228,0.575370895351458,M1,1,2
14,3,0.698384952310375,0.558393491161291,M1,1,2
14,4,0.697516186608128,0.477942960107774,M1,1,2
14,5,0.578193513144258,0.542539665979574,M1,1,2
15,1,0.795708940125478,0.809191636256581,M2,1,2
15,2,0.755740785738353,0.797428947855371,M2,1,2
15,3,0.780400573005041,0.793446203076177,M2,1,2
15,4,0.816904893529062,0.843086873898375,M2,1,2
15,5,0.846824540160197,0.83065500517378,M2,1,2
16,1,0.565764917399773,0.61457799602069,F3,2,2
16,2,0.774860316101105,0.834443772459033,F3,2,2
16,3,0.693328007975834,0.772901407094931,F3,2,2
16,4,0.695858656704068,0.78046871809983,F3,2,2
16,5,0.768799607766234,0.771285540152718,F3,2,2
17,1,0.761779991052464,0.61643400815447,M1,1,3
17,2,0.641864355410867,0.557283173680899,M1,1,3
17,3,0.696189376580191,0.527995936888484,M1,1,3
17,4,0.761562357434226,0.616083775848585,M1,1,3
17,5,0.713905658724844,0.587022441122513,M1,1,3
18,1,0.381121780735727,0.325488080857599,F1,2,3
18,2,0.435545780014839,0.32827242917322,F1,2,3
18,3,0.428707442165247,0.361217081649382,F1,2,3
18,4,0.478986322022424,0.364445395231095,F1,2,3
18,5,0.341054582141915,0.292521307747856,F1,2,3
19,1,0.762054188260175,0.797901874151907,M3,1,3
19,2,0.781533215310227,0.768843646305015,M3,1,3
19,3,0.487153378768221,0.517761030348029,M3,1,3
19,4,0.687358785488459,0.745235935868557,M3,1,3
19,5,0.669725101330147,0.679055311205428,M3,1,3
20,1,0.817686032382676,0.886081901093867,M2,1,3
20,2,0.795522081362869,0.8578315361004,M2,1,3
20,3,0.496536205417687,0.73209580234952,M2,1,3
20,4,0.756689402282182,0.825366834109677,M2,1,3
20,5,0.844478920926078,0.853661332540843,M2,1,3
21,1,0.764128999735778,0.694783326643701,F3,2,3
21,2,0.635936225899569,0.65388838437571,F3,2,3
21,3,0.699340745026807,0.632346985720329,F3,2,3
21,4,0.645986715550739,0.683269937117031,F3,2,3
21,5,0.753955890376069,0.722351988190836,F3,2,3
22,1,0.403715991888729,0.434850833852321,F1,2,3
22,2,0.366926746976729,0.402655184933709,F1,2,3
22,3,0.340463772469585,0.347527725734955,F1,2,3
22,4,0.401200079763748,0.440727197276201,F1,2,3
22,5,0.400016998248531,0.443594819354311,F1,2,3
23,1,0.616039537141461,0.744309706868674,M2,1,3
23,2,0.675490659747115,0.776721406183401,M2,1,3
23,3,0.800724843182051,0.795650340499095,M2,1,3
23,4,0.773520899283122,0.799527017713898,M2,1,3
23,5,0.758215087086,0.72721444050936,M2,1,3
24,1,0.513963262051309,0.500103584899771,F1,2,3
24,2,0.550358869650274,0.531212968139918,F1,2,3
24,3,0.463978085891993,0.501288024499585,F1,2,3
24,4,0.391176892110445,0.377594909162721,F1,2,3
24,5,0.492411375637629,0.446069651769853,F1,2,3
25,1,0.560207131789975,0.70760481973376,M2,1,4
25,2,0.312028126468654,0.513782604769725,M2,1,4
25,3,0.611107066321334,0.601378267211692,M2,1,4
25,4,0.249912747012808,0.548755976698964,M2,1,4
25,5,0.382242262592886,0.629847838642888,M2,1,4
26,1,0.566019698234487,0.707012590141324,F3,2,4
26,2,0.484565615496845,0.608689088073228,F3,2,4
26,3,0.629895192483697,0.64517785340683,F3,2,4
26,4,0.498653098172939,0.58734550391849,F3,2,4
26,5,0.454500614779435,0.640928668148889,F3,2,4
27,1,0.744452944453807,0.671871789549809,F1,2,4
27,2,0.62482238025007,0.60113064632678,F1,2,4
27,3,0.56661426969959,0.526755114478344,F1,2,4
27,4,0.753757650496089,0.697497637270445,F1,2,4
27,5,0.57796742497672,0.580751100632124,F1,2,4
28,1,0.801294410029753,0.774176538506208,M3,1,4
28,2,0.852255215847768,0.779103837094931,M3,1,4
