Session,OrderParts,LFP_Perf,MUAe_Perf,Name,Sex,Depth
14,5,0.346562306819643,0.178717215519317,M1,1,2
15,1,0.511926401588012,0.417432848873296,M2,1,2
15,2,0.584723970377742,0.471599437298327,M2,1,2
15,3,0.568265191707791,0.50672879681018,M2,1,2
15,4,0.543132366224208,0.448700172612205,M2,1,2
15,5,0.490317432250688,0.472987804432326,M2,1,2
16,1,0.512053960423611,0.523866040757935,F3,2,2
16,2,0.402843376173939,0.52421665248714,F3,2,2
16,3,0.411981666189788,0.565309397785017,F3,2,2
16,4,0.436121063982808,0.566127079998614,F3,2,2
16,5,0.474155504590536,0.577239556209886,F3,2,2
17,1,0.448124578013879,0.305334512323126,M1,1,3
17,2,0.470464230242759,0.290204522533437,M1,1,3
17,3,0.52631061314184,0.375519039663585,M1,1,3
17,4,0.486593021402737,0.288718730534194,M1,1,3
17,5,0.354986782218252,0.276583664061461,M1,1,3
18,1,0.220211122215524,0.0552283731585516,F1,2,3
18,2,0.155656130458181,0.0640791092835579,F1,2,3
18,3,0.157632487680561,0.0644356653281913,F1,2,3
18,4,0.177254189778575,0.0796695617360277,F1,2,3
18,5,0.151553117339198,0.0574747774895322,F1,2,3
19,1,0.527454898512909,0.545240460519184,M3,1,3
19,2,0.487618316778118,0.528173819528498,M3,1,3
19,3,0.410781476102637,0.52510219236303,M3,1,3
19,4,0.452433395151602,0.572009378904405,M3,1,3
19,5,0.437533441493569,0.529975137775836,M3,1,3
20,1,0.383047912089311,0.374136287795332,M2,1,3
20,2,0.379138466912469,0.374036114100286,M2,1,3
20,3,0.508982578016261,0.43760119893913,M2,1,3
20,4,0.520370111224178,0.422887107465613,M2,1,3
20,5,0.422933819089307,0.414241881546254,M2,1,3
21,1,0.505484748660006,0.534548228901399,F3,2,3
21,2,0.36439311257565,0.427656727125894,F3,2,3
21,3,0.422214263134574,0.450526286783923,F3,2,3
21,4,0.484075838542115,0.54589911305567,F3,2,3
21,5,0.286306837348501,0.403174183833297,F3,2,3
22,1,0.115395716132367,0.149614429424188,F1,2,3
22,2,0.0856979614844268,0.165173112140519,F1,2,3
22,3,0.157108766230211,0.0978885575504782,F1,2,3
22,4,0.125585581486766,0.181841534180542,F1,2,3
22,5,0.0920749826807561,0.104626159245191,F1,2,3
23,1,0.411121036945598,0.436235631698993,M2,1,3
23,2,0.358698021174983,0.362687661790772,M2,1,3
23,3,0.462889369168611,0.305501085806555,M2,1,3
23,4,0.558493345678212,0.600636647804346,M2,1,3
23,5,0.463070587530672,0.461398138421412,M2,1,3
24,1,0.201012427143009,0.133535744236885,F1,2,3
24,2,0.140502173707008,0.124645629144647,F1,2,3
24,3,0.168188746884586,0.151436241332826,F1,2,3
24,4,0.178335324514133,0.145421894280893,F1,2,3
24,5,0.172152511800457,0.189928339491716,F1,2,3
25,1,0.127616420972562,0.291747294922208,M2,1,4
25,2,0.228150845462088,0.228893288239101,M2,1,4
25,3,0.223485932999102,0.258363085501379,M2,1,4
25,4,0.244457672346068,0.431605328864349,M2,1,4
25,5,0.144011432181157,0.307168529700043,M2,1,4
26,1,0.164757421037289,0.259972696267414,F3,2,4
26,2,0.193573489311814,0.345369303159594,F3,2,4
26,3,0.216372033975817,0.366162052647551,F3,2,4
26,4,0.274421390249371,0.509570741861208,F3,2,4
26,5,0.271137247601562,0.45683928091279,F3,2,4
27,1,0.345425602918004,0.306400085517617,F1,2,4
27,2,0.262842322060947,0.248579846210019,F1,2,4
27,3,0.373977442332483,0.337467810258961,F1,2,4
27,4,0.394065480739162,0.335904201840521,F1,2,4
27,5,0.281355083015572,0.322853151520804,F1,2,4
28,1,0.505737745825872,0.567695000358982,M3,1,4
28,2,0.487608362595261,0.49597277459632,M3,1,4
28,3,0.516843331958305,0.549228960168347,M3,1,4
28,4,0.479176010366021,0.569508890295005,M3,1,4
28,5,0.510078731482824,0.643994904556969,M3,1,4
29,1,0.303387362477173,0.188224897447077,M2,1,4
29,2,0.28413084401293,0.180391383879128,M2,1,4
29,3,0.345969737872895,0.194280373888976,M2,1,4
29,4,0.318283882540074,0.22511914713208,M2,1,4
29,5,0.283154172100073,0.198628492233991,M2,1,4
30,1,0.323931873553138,0.322774174521639,F3,2,4
30,2,0.281815096549356,0.330694119938024,F3,2,4
30,3,0.358738513942154,0.372204669776582,F3,2,4
30,4,0.351975658507693,0.43767502280879,F3,2,4
30,5,0.297713953735144,0.325442917581559,F3,2,4
31,1,0.550620237602799,0.501585981009459,M1,1,4
31,2,0.226094538403177,0.169601881060394,M1,1,4
