Session,Perf_LFP,Perf_MUAe,Birds,Sex,Depth
27,0.181741237640381,0.328011095523834,F1,2,4
27,0.317925810813904,0.253420174121857,F1,2,4
27,0.0201102495193481,0.501707911491394,F1,2,4
27,0.222035825252533,0.206114828586578,F1,2,4
27,0.292330384254456,0.259954988956451,F1,2,4
27,0.566944658756256,0.702830910682678,F1,2,4
27,0.216970384120941,0.413201689720154,F1,2,4
27,0.215908408164978,0.267686247825623,F1,2,4
27,0.50260865688324,0.394444823265076,F1,2,4
27,0.0656933188438416,0.0442328453063965,F1,2,4
27,0.0683594942092896,0.10646378993988,F1,2,4
27,0.113704562187195,0.193376660346985,F1,2,4
27,0.143126726150513,0.344102323055267,F1,2,4
27,0.219365417957306,0.306238114833832,F1,2,4
27,0.359746754169464,0.277074873447418,F1,2,4
27,0.324831604957581,0.434731602668762,F1,2,4
27,0.192158102989197,0.683733940124512,F1,2,4
27,0.257578670978546,0.443460583686829,F1,2,4
27,0.527971088886261,0.614269614219666,F1,2,4
28,0.375049352645874,0.510209202766418,M3,1,4
28,0.518311738967896,0.682177305221558,M3,1,4
28,0.0874705910682678,0.18662166595459,M3,1,4
28,0.473782241344452,0.516591310501099,M3,1,4
28,0.262227952480316,0.397852301597595,M3,1,4
28,0.526304602622986,0.73749965429306,M3,1,4
28,0.404644668102264,0.314883887767792,M3,1,4
28,0.290387451648712,0.281839489936829,M3,1,4
28,0.20955353975296,0.313511967658997,M3,1,4
28,0.521844089031219,0.522108197212219,M3,1,4
28,0.192306041717529,0.255702257156372,M3,1,4
28,0.199429094791412,0.512603402137756,M3,1,4
28,0.163278520107269,0.385810434818268,M3,1,4
28,0.414798319339752,0.744046092033386,M3,1,4
28,0.351830005645752,0.647606432437897,M3,1,4
28,0.480747520923615,0.664571404457092,M3,1,4
28,0.379348576068878,0.444635629653931,M3,1,4
28,0.600197792053223,0.359830439090729,M3,1,4
28,0.347599685192108,0.66556179523468,M3,1,4
28,0.571483850479126,0.562273025512695,M3,1,4
28,0.410038113594055,0.338282763957977,M3,1,4
28,0.421613752841949,0.304577529430389,M3,1,4
28,0.511561512947083,0.319085478782654,M3,1,4
28,0.259545981884003,0.740781545639038,M3,1,4
28,0.417740821838379,0.451756358146667,M3,1,4
28,0.575677156448364,0.464819848537445,M3,1,4
28,0.334531009197235,0.370944440364838,M3,1,4
28,0.24277263879776,0.495603024959564,M3,1,4
28,0.23445588350296,0.534324407577515,M3,1,4
28,0.64882904291153,0.51351273059845,M3,1,4
28,0.35282176733017,0.401542723178864,M3,1,4
28,0.417884945869446,0.543443977832794,M3,1,4
28,0.439246714115143,0.619635462760925,M3,1,4
28,0.224740147590637,0.494314610958099,M3,1,4
28,0.320999503135681,0.438389420509338,M3,1,4
28,0.0904088616371155,0.384274482727051,M3,1,4
28,0.393226861953735,0.587033152580261,M3,1,4
28,0.386459112167358,0.415954291820526,M3,1,4
28,0.632779717445374,0.77440619468689,M3,1,4
28,0.441862821578979,0.661784291267395,M3,1,4
28,0.232632100582123,0.64750075340271,M3,1,4
28,0.365139782428741,0.42638099193573,M3,1,4
28,0.343472421169281,0.510797381401062,M3,1,4
28,0.36429899930954,0.491268455982208,M3,1,4
28,0.686032116413116,0.629246711730957,M3,1,4
28,0.474922358989716,0.4861940741539,M3,1,4
28,0.437043726444244,0.348925888538361,M3,1,4
28,0.0674111247062683,0.290752232074738,M3,1,4
28,0.433544099330902,0.509355306625366,M3,1,4
28,0.583827257156372,0.610796451568604,M3,1,4
28,0.237993359565735,0.518504858016968,M3,1,4
28,0.39353609085083,0.634435415267944,M3,1,4
28,0.454532384872437,0.473584830760956,M3,1,4
28,0.581089735031128,0.639625906944275,M3,1,4
28,0.317077815532684,0.56353235244751,M3,1,4
28,0.304831862449646,0.559310019016266,M3,1,4
28,0.616580247879028,0.520084261894226,M3,1,4
28,0.437785983085632,0.396131932735443,M3,1,4
28,0.314296305179596,0.548703193664551,M3,1,4
28,0.501536071300507,0.645546853542328,M3,1,4
28,0.149720191955566,0.78604257106781,M3,1,4
28,0.586755871772766,0.660952746868134,M3,1,4
28,0.243400156497955,0.30978912115097,M3,1,4
28,0.209263741970062,0.542910575866699,M3,1,4
28,0.307835161685944,0.454469323158264,M3,1,4
28,0.631343424320221,0.362813055515289,M3,1,4
28,0.478249728679657,0.271396040916443,M3,1,4
28,0.50012743473053,0.362830638885498,M3,1,4
28,0.198792815208435,0.371861159801483,M3,1,4
28,0.227574706077576,0.383135378360748,M3,1,4
28,0.0297520160675049,0.294045150279999,M3,1,4
28,0.360654413700104,0.371837615966797,M3,1,4
28,0.287847340106964,0.340288162231445,M3,1,4
