Session,Perf_LFP,Perf_MUAe,Birds,Sex,Depth
7,8.33333333333333,25,M1,1,2
7,27.7777777777778,33.3333333333333,M1,1,2
7,33.3333333333333,16.6666666666667,M1,1,2
7,11.1111111111111,27.7777777777778,M1,1,2
7,22.2222222222222,11.1111111111111,M1,1,2
7,22.2222222222222,5.55555555555556,M1,1,2
7,33.3333333333333,27.7777777777778,M1,1,2
7,27.7777777777778,5.55555555555556,M1,1,2
7,27.7777777777778,22.2222222222222,M1,1,2
7,27.7777777777778,27.7777777777778,M1,1,2
7,22.2222222222222,22.2222222222222,M1,1,2
8,37.5,37.5,M2,1,2
8,87.5,79.1666666666667,M2,1,2
8,91.6666666666667,79.1666666666667,M2,1,2
8,87.5,70.8333333333333,M2,1,2
8,91.6666666666667,70.8333333333333,M2,1,2
8,70.8333333333333,66.6666666666667,M2,1,2
8,50,50,M2,1,2
8,87.5,75,M2,1,2
8,70.8333333333333,66.6666666666667,M2,1,2
8,45.8333333333333,41.6666666666667,M2,1,2
8,58.3333333333333,58.3333333333333,M2,1,2
8,66.6666666666667,37.5,M2,1,2
8,50,58.3333333333333,M2,1,2
8,20.8333333333333,25,M2,1,2
8,75,62.5,M2,1,2
8,50,45.8333333333333,M2,1,2
8,95.8333333333333,50,M2,1,2
8,87.5,45.8333333333333,M2,1,2
8,84.2105263157895,57.8947368421053,M2,1,2
8,84.2105263157895,52.6315789473684,M2,1,2
8,78.9473684210526,52.6315789473684,M2,1,2
8,73.6842105263158,52.6315789473684,M2,1,2
8,100,68.4210526315789,M2,1,2
8,78.9473684210526,63.1578947368421,M2,1,2
8,84.2105263157895,52.6315789473684,M2,1,2
8,68.4210526315789,31.5789473684211,M2,1,2
8,92,40,M2,1,2
8,96,76,M2,1,2
8,100,52,M2,1,2
8,68,60,M2,1,2
8,64,52,M2,1,2
8,52,56,M2,1,2
8,76,64,M2,1,2
8,60,40,M2,1,2
8,85,50,M2,1,2
8,90,85,M2,1,2
8,85,65,M2,1,2
8,55,50,M2,1,2
8,100,70,M2,1,2
8,95,90,M2,1,2
8,100,60,M2,1,2
8,85,75,M2,1,2
8,33.3333333333333,46.6666666666667,M2,1,2
8,60,40,M2,1,2
8,60,53.3333333333333,M2,1,2
8,93.3333333333333,66.6666666666667,M2,1,2
8,80,53.3333333333333,M2,1,2
8,60,66.6666666666667,M2,1,2
8,60,53.3333333333333,M2,1,2
8,86.6666666666667,66.6666666666667,M2,1,2
8,11.7647058823529,35.2941176470588,M2,1,2
8,70.5882352941177,70.5882352941177,M2,1,2
8,76.4705882352941,41.1764705882353,M2,1,2
8,47.0588235294118,70.5882352941177,M2,1,2
8,76.4705882352941,64.7058823529412,M2,1,2
8,52.9411764705882,35.2941176470588,M2,1,2
8,82.3529411764706,41.1764705882353,M2,1,2
8,47.0588235294118,41.1764705882353,M2,1,2
8,100,82.3529411764706,M2,1,2
8,94.1176470588235,58.8235294117647,M2,1,2
8,70.5882352941177,64.7058823529412,M2,1,2
8,94.1176470588235,70.5882352941177,M2,1,2
8,17.6470588235294,41.1764705882353,M2,1,2
8,41.1764705882353,76.4705882352941,M2,1,2
8,76.4705882352941,47.0588235294118,M2,1,2
8,82.3529411764706,58.8235294117647,M2,1,2
8,58.3333333333333,33.3333333333333,M2,1,2
8,75,66.6666666666667,M2,1,2
8,75,58.3333333333333,M2,1,2
8,75,66.6666666666667,M2,1,2
8,25,41.6666666666667,M2,1,2
8,83.3333333333333,75,M2,1,2
8,83.3333333333333,75,M2,1,2
8,50,50,M2,1,2
8,44.4444444444444,22.2222222222222,M2,1,2
8,50,22.2222222222222,M2,1,2
8,77.7777777777778,44.4444444444444,M2,1,2
8,66.6666666666667,33.3333333333333,M2,1,2
8,66.6666666666667,33.3333333333333,M2,1,2
8,66.6666666666667,50,M2,1,2
8,38.8888888888889,55.5555555555556,M2,1,2
8,77.7777777777778,66.6666666666667,M2,1,2
8,44.4444444444444,38.8888888888889,M2,1,2
9,70.8333333333333,33.3333333333333,M1,1,2
9,54.1666666666667,50,M1,1,2
9,66.6666666666667,37.5,M1,1,2
9,66.6666666666667,37.5,M1,1,2
9,75,41.6666666666667,M1,1,2
9,58.3333333333333,54.1666666666667,M1,1,2
9,58.3333333333333,37.5,M1,1,2
9,37.5,25,M1,1,2
9,33.3333333333333,8.33333333333333,M1,1,2
9,45.8333333333333,25,M1,1,2
9,37.5,8.33333333333333,M1,1,2
9,33.3333333333333,29.1666666666667,M1,1,2
9,54.1666666666667,16.6666666666667,M1,1,2
9,45.8333333333333,20.8333333333333,M1,1,2
9,47.3684210526316,26.3157894736842,M1,1,2
9,47.3684210526316,52.6315789473684,M1,1,2
9,47.3684210526316,47.3684210526316,M1,1,2
9,36.8421052631579,52.6315789473684,M1,1,2
9,73.6842105263158,26.3157894736842,M1,1,2
9,36.8421052631579,36.8421052631579,M1,1,2
9,57.8947368421053,57.8947368421053,M1,1,2
9,40,44,M1,1,2
9,40,16,M1,1,2
9,36,32,M1,1,2
9,36,40,M1,1,2
9,32,28,M1,1,2
9,44,28,M1,1,2
9,40,30,M1,1,2
9,45,35,M1,1,2
9,55,25,M1,1,2
9,40,30,M1,1,2
9,35,35,M1,1,2
9,45,30,M1,1,2
9,60,40,M1,1,2
9,40,33.3333333333333,M1,1,2
9,73.3333333333333,46.6666666666667,M1,1,2
9,46.6666666666667,33.3333333333333,M1,1,2
9,60,33.3333333333333,M1,1,2
9,66.6666666666667,46.6666666666667,M1,1,2
9,33.3333333333333,33.3333333333333,M1,1,2
9,66.6666666666667,33.3333333333333,M1,1,2
9,40,46.6666666666667,M1,1,2
9,35.2941176470588,29.4117647058824,M1,1,2
9,29.4117647058824,29.4117647058824,M1,1,2
9,29.4117647058824,47.0588235294118,M1,1,2
9,29.4117647058824,29.4117647058824,M1,1,2
9,41.1764705882353,35.2941176470588,M1,1,2
9,23.5294117647059,41.1764705882353,M1,1,2
9,35.2941176470588,23.5294117647059,M1,1,2
9,64.7058823529412,47.0588235294118,M1,1,2
9,52.9411764705882,64.7058823529412,M1,1,2
9,52.9411764705882,41.1764705882353,M1,1,2
9,64.7058823529412,41.1764705882353,M1,1,2
9,52.9411764705882,41.1764705882353,M1,1,2
9,41.1764705882353,29.4117647058824,M1,1,2
9,41.1764705882353,23.5294117647059,M1,1,2
9,58.3333333333333,33.3333333333333,M1,1,2
9,58.3333333333333,33.3333333333333,M1,1,2
9,50,41.6666666666667,M1,1,2
9,33.3333333333333,25,M1,1,2
9,33.3333333333333,25,M1,1,2
9,41.6666666666667,25,M1,1,2
9,66.6666666666667,41.6666666666667,M1,1,2
9,33.3333333333333,66.6666666666667,M1,1,2
9,61.1111111111111,33.3333333333333,M1,1,2
9,38.8888888888889,38.8888888888889,M1,1,2
9,44.4444444444444,33.3333333333333,M1,1,2
9,38.8888888888889,44.4444444444444,M1,1,2
9,50,16.6666666666667,M1,1,2
9,44.4444444444444,33.3333333333333,M1,1,2
9,27.7777777777778,22.2222222222222,M1,1,2
10,12.5,29.1666666666667,M2,1,2
10,33.3333333333333,50,M2,1,2
10,79.1666666666667,50,M2,1,2
10,58.3333333333333,87.5,M2,1,2
10,83.3333333333333,75,M2,1,2
10,95.8333333333333,83.3333333333333,M2,1,2
10,100,83.3333333333333,M2,1,2
10,75,83.3333333333333,M2,1,2
10,91.6666666666667,83.3333333333333,M2,1,2
10,83.3333333333333,41.6666666666667,M2,1,2
10,91.6666666666667,58.3333333333333,M2,1,2
10,54.1666666666667,66.6666666666667,M2,1,2
10,62.5,62.5,M2,1,2
10,62.5,45.8333333333333,M2,1,2
10,79.1666666666667,54.1666666666667,M2,1,2
10,66.6666666666667,66.6666666666667,M2,1,2
10,62.5,50,M2,1,2
10,63.1578947368421,47.3684210526316,M2,1,2
10,78.9473684210526,52.6315789473684,M2,1,2
10,84.2105263157895,57.8947368421053,M2,1,2
10,73.6842105263158,36.8421052631579,M2,1,2
10,84.2105263157895,52.6315789473684,M2,1,2
10,89.4736842105263,52.6315789473684,M2,1,2
10,78.9473684210526,57.8947368421053,M2,1,2
10,63.1578947368421,68.4210526315789,M2,1,2
10,72,36,M2,1,2
10,92,60,M2,1,2
10,84,72,M2,1,2
10,64,76,M2,1,2
10,60,64,M2,1,2
10,76,52,M2,1,2
10,84,68,M2,1,2
10,76,72,M2,1,2
10,85,60,M2,1,2
10,95,75,M2,1,2
10,70,70,M2,1,2
10,85,65,M2,1,2
10,70,55,M2,1,2
10,95,70,M2,1,2
10,80,65,M2,1,2
10,6.66666666666667,20,M2,1,2
10,80,66.6666666666667,M2,1,2
10,46.6666666666667,53.3333333333333,M2,1,2
10,80,80,M2,1,2
10,73.3333333333333,60,M2,1,2
10,66.6666666666667,46.6666666666667,M2,1,2
10,86.6666666666667,53.3333333333333,M2,1,2
10,60,46.6666666666667,M2,1,2
10,23.5294117647059,17.6470588235294,M2,1,2
10,35.2941176470588,47.0588235294118,M2,1,2
10,41.1764705882353,64.7058823529412,M2,1,2
10,52.9411764705882,47.0588235294118,M2,1,2
10,41.1764705882353,58.8235294117647,M2,1,2
10,64.7058823529412,23.5294117647059,M2,1,2
10,88.2352941176471,29.4117647058824,M2,1,2
10,70.5882352941177,47.0588235294118,M2,1,2
10,29.4117647058824,29.4117647058824,M2,1,2
10,94.1176470588235,35.2941176470588,M2,1,2
10,82.3529411764706,58.8235294117647,M2,1,2
10,58.8235294117647,70.5882352941177,M2,1,2
10,64.7058823529412,88.2352941176471,M2,1,2
10,82.3529411764706,82.3529411764706,M2,1,2
10,100,70.5882352941177,M2,1,2
10,75,66.6666666666667,M2,1,2
10,83.3333333333333,83.3333333333333,M2,1,2
10,41.6666666666667,16.6666666666667,M2,1,2
10,75,83.3333333333333,M2,1,2
10,58.3333333333333,91.6666666666667,M2,1,2
10,75,66.6666666666667,M2,1,2
10,83.3333333333333,66.6666666666667,M2,1,2
10,16.6666666666667,22.2222222222222,M2,1,2
10,50,22.2222222222222,M2,1,2
10,33.3333333333333,33.3333333333333,M2,1,2
10,77.7777777777778,66.6666666666667,M2,1,2
10,61.1111111111111,50,M2,1,2
10,72.2222222222222,50,M2,1,2
10,66.6666666666667,38.8888888888889,M2,1,2
10,77.7777777777778,61.1111111111111,M2,1,2
11,62.5,70.8333333333333,M2,1,2
11,83.3333333333333,70.8333333333333,M2,1,2
11,70.8333333333333,62.5,M2,1,2
11,70.8333333333333,79.1666666666667,M2,1,2
11,66.6666666666667,66.6666666666667,M2,1,2
11,75,79.1666666666667,M2,1,2
11,83.3333333333333,87.5,M2,1,2
11,62.5,75,M2,1,2
11,25,41.6666666666667,M2,1,2
11,62.5,58.3333333333333,M2,1,2
11,33.3333333333333,66.6666666666667,M2,1,2
11,41.6666666666667,45.8333333333333,M2,1,2
11,66.6666666666667,75,M2,1,2
11,37.5,58.3333333333333,M2,1,2
11,41.6666666666667,62.5,M2,1,2
11,16.6666666666667,25,M2,1,2
11,54.1666666666667,50,M2,1,2
11,33.3333333333333,45.8333333333333,M2,1,2
